,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
48,3710,SUNBEAM CORP/FL/,199851,2/14/2001,10-Q,edgar/data/4457/0000004457-01-500024.txt,16.93158,5.73489,0.493975881821215,6.84159068438976,3249.47819400198,1302.52791387455,295800,9103,0,0,0.001757662309129,0.000549269471603,0,0,0
49,3711,SUNBEAM CORP/FL/,199852,7/2/2001,10-K,edgar/data/4457/0000004457-01-500063.txt,32.79996,10.9944,0.49790793842157,6.9077712289893,1656.01942807247,665.170879720585,303449,18324,0,0,0.001746343593102,0.000545732372844,0,0,0
50,3712,SUNBEAM CORP/FL/,199853,7/2/2001,NT 10-K,edgar/data/4457/0000004457-01-500060.txt,0.5859,0.09114,0.730768151411805,6.11827956989247,46644.8540706605,18660.3889400922,303658,651,0,0,0,0,0,0,0
51,3713,SUNBEAM CORP/FL/,199854,8/10/2001,10-Q,edgar/data/4457/0000004457-01-500081.txt,6.11252,1.5453,0.59641247817101,7.19947582993594,8885.46884100175,3557.06732673267,305127,3434,0,0,0.001747233546884,0.000291205591147,0,0,0
52,3714,SUNBEAM CORP/FL/,199855,8/10/2001,10-Q/A,edgar/data/4457/0000004457-01-500083.txt,0.5643,0.18525,0.505702747378097,6.56842105263158,107096.49122807,42841.2238596491,305225,285,0,0,0,0,0,0,0
53,3715,SUNBEAM CORP/FL/,199856,10/16/2008,10-Q,edgar/data/4515/0000004515-08-000073.txt,0.56232,0.1846,0.505702745002484,6.58802816901409,107508.098591549,43005.8746478873,305323,284,0,0,0,0,0,0,0
54,3716,SUNBEAM CORP/FL/,199857,2/19/2009,10-K,edgar/data/4515/0000004515-09-000008.txt,142.99365,27.9012,0.673469383814261,7.30395825269164,481.245251100311,195.419683741201,335683,69753,0,0,0.002035754734563,0.000387080125586,0,0,0
55,3717,SUNBEAM CORP/FL/,199858,4/16/2009,10-Q,edgar/data/4515/0000004515-09-000018.txt,10.95246,7.17309,0.208510626794187,7.11590820692338,4396.68092830287,1761.51873460392,339116,7713,0,0,0.001296512381693,0.000907558667185,0,0,0
56,3718,SUNBEAM CORP/FL/,199859,7/15/2009,10-Q,edgar/data/4515/0000004515-09-000029.txt,0.56145,0.18525,0.50381611916952,6.5719298245614,119022.456140351,47611.6112280702,339214,285,0,0,0,0,0,0,0
57,3719,SUNBEAM CORP/FL/,199860,10/21/2009,10-Q,edgar/data/4515/0000004515-09-000039.txt,18.73256,12.40728,0.203124993477006,7.18431437027294,2834.19927655377,1136.55343636962,344752,12164,0,0,0.001479776389346,0.000986517592897,0,0,0
58,3720,SUNBEAM CORP/FL/,199861,11/6/2009,10-Q/A,edgar/data/4515/0000004515-09-000041.txt,3.77856,0.29952,0.853107135439438,7.203125,15003.90625,6004.44375,345690,2304,0,0,0.001302083333333,0,0,0,0
59,3721,SUNBEAM CORP/FL/,199862,2/17/2010,10-K,edgar/data/4515/0000004515-10-000006.txt,0.5643,0.18525,0.505702747378097,6.56842105263158,121329.122807018,48534.2764912281,345788,285,0,0,0,0,0,0,0
